country,t_from_birth_to_interview,t_6m_before_interv,physical_punishment,severe_physical,psychological_aggression,nonviolent_discipline,agech,sexch,windex5,urban,edlevelmom
Gambia,34.06683,34.67132,1,0,1,1,4,Female,Richest,Urban,Less than primary
Gambia,34.035236,33.92017,1,1,1,1,4,Male,Fourth,Urban,Less than primary
Gambia,34.288074,34.672115,1,1,1,1,4,Female,Middle,Urban,Less than primary
Gambia,34.40503,34.672115,1,0,1,0,3,Female,Fourth,Urban,Primary
Gambia,34.374985,34.667156,0,0,1,0,3,Female,Fourth,Urban,Less than primary
Gambia,34.4013,34.667156,1,0,1,0,3,Female,Middle,Urban,Primary
Gambia,34.223827,34.667156,1,0,1,1,3,Male,Richest,Urban,Secondary or higher
Gambia,34.29079,34.667156,1,1,1,1,4,Female,Richest,Urban,Secondary or higher
Gambia,34.223827,34.667156,0,0,1,1,3,Female,Richest,Urban,Secondary or higher
Gambia,34.4013,34.667156,1,1,1,0,3,Male,Richest,Urban,Less than primary
Gambia,34.223827,34.667156,1,0,1,1,3,Male,Richest,Urban,Primary
Gambia,34.43195,34.70379,1,1,1,1,3,Male,Richest,Urban,Secondary or higher
Gambia,34.42859,34.659496,1,1,1,1,3,Male,Richest,Urban,Secondary or higher
Gambia,34.25697,34.659496,1,1,1,1,3,Male,Richest,Urban,Primary
Gambia,34.29448,34.659496,1,0,1,1,3,Female,Fourth,Urban,Less than primary
Gambia,34.42859,34.659496,1,0,1,1,3,Female,Fourth,Urban,Less than primary
Gambia,34.42859,34.659496,1,1,1,1,3,Male,Richest,Urban,Less than primary
Gambia,34.338173,34.593456,1,1,0,1,3,Male,Fourth,Urban,Primary
Gambia,34.20464,34.593456,0,1,1,1,4,Male,Richest,Urban,Secondary or higher
Gambia,34.16307,34.593456,1,1,1,1,3,Male,Richest,Urban,Secondary or higher
Gambia,34.22033,34.593456,0,1,0,1,4,Male,Fourth,Urban,Less than primary
Gambia,34.24057,33.915886,0,1,1,1,4,Male,Richest,Urban,Less than primary
Gambia,34.177673,33.905598,0,0,1,1,4,Female,Fourth,Urban,Secondary or higher
Gambia,34.25283,33.905598,1,1,1,1,3,Male,Richest,Urban,Secondary or higher
Gambia,34.249508,33.905598,1,1,1,1,4,Male,Fourth,Urban,Secondary or higher
Gambia,34.352745,33.905598,1,1,1,1,3,Female,Richest,Urban,Primary
Gambia,34.124634,33.905598,0,0,0,1,3,Female,Richest,Urban,Secondary or higher
Gambia,34.179947,33.905598,0,0,1,0,3,Female,Richest,Urban,Less than primary
Gambia,34.386448,33.905598,0,0,0,1,3,Male,Richest,Urban,Secondary or higher
Gambia,34.021255,33.905598,1,1,1,1,4,Male,Richest,Urban,Less than primary
Gambia,34.05221,33.939297,1,1,1,1,4,Male,Richest,Urban,Secondary or higher
Gambia,34.275642,33.939297,0,1,1,1,4,Male,Richest,Urban,Secondary or higher
Gambia,34.275642,33.939297,1,1,1,1,4,Male,Richest,Urban,Less than primary
Gambia,34.05221,33.939297,1,0,0,1,4,Male,Fourth,Urban,Secondary or higher
Gambia,34.092625,33.939297,1,1,1,1,4,Female,Richest,Urban,Secondary or higher
Gambia,34.105816,33.895515,1,1,1,1,4,Male,Richest,Urban,Secondary or higher
Gambia,34.280556,34.6818,0,0,0,1,4,Male,Fourth,Urban,Secondary or higher
Gambia,34.250385,33.929066,1,1,1,1,4,Female,Fourth,Urban,Secondary or higher
Gambia,34.147465,33.929066,1,1,1,1,3,Female,Richest,Urban,Secondary or higher
Gambia,34.409756,33.929066,1,1,1,1,3,Male,Richest,Urban,Less than primary
Gambia,34.269363,34.642277,0,0,0,1,4,Female,Richest,Urban,Primary
Gambia,34.280052,34.642277,0,0,1,1,3,Male,Middle,Urban,Less than primary
Gambia,34.197845,34.642277,0,1,1,1,4,Male,Richest,Urban,Primary
Gambia,34.38008,34.642277,1,0,1,1,3,Male,Richest,Urban,Secondary or higher
Gambia,34.28568,34.6818,1,1,1,1,4,Male,Fourth,Urban,Less than primary
Gambia,34.309883,34.689323,1,1,1,1,4,Male,Richest,Urban,Secondary or higher
Gambia,34.292137,34.689323,0,1,1,1,4,Female,Richest,Urban,Secondary or higher
Gambia,34.481884,34.689323,1,1,1,1,2,Male,Richest,Urban,Secondary or higher
Gambia,34.30486,34.6719,0,1,0,1,3,Male,Fourth,Urban,Less than primary
Gambia,34.29488,34.6719,0,0,0,1,4,Female,Fourth,Urban,Less than primary
Gambia,34.439186,34.6719,0,0,0,1,3,Female,Fourth,Urban,Less than primary
Gambia,34.25516,33.933826,0,0,1,1,4,Male,Fourth,Urban,Less than primary
Gambia,34.25516,33.933826,1,1,1,1,4,Male,Richest,Urban,Less than primary
Gambia,34.152096,33.933826,1,1,1,1,3,Male,Richest,Urban,Less than primary
Gambia,34.380726,33.933826,1,1,1,1,3,Male,Fourth,Urban,Less than primary
Gambia,34.380726,33.933826,1,1,1,1,3,Female,Fourth,Urban,Less than primary
Gambia,34.25516,33.933826,1,1,0,1,4,Male,Fourth,Urban,Less than primary
Gambia,34.28031,33.933826,1,0,0,1,3,Female,Fourth,Urban,Less than primary
Gambia,34.380726,33.933826,0,0,1,1,3,Female,Richest,Urban,Less than primary
Gambia,34.171486,33.90194,1,0,1,1,3,Female,Richest,Urban,Secondary or higher
Gambia,34.253098,34.649845,0,1,1,1,4,Female,Richest,Urban,Secondary or higher
Gambia,34.22858,33.907322,1,0,1,1,4,Female,Richest,Urban,Secondary or higher
Gambia,34.251244,33.907322,1,0,1,1,4,Male,Richest,Urban,Secondary or higher
Gambia,34.125263,34.695065,0,0,1,1,4,Female,Richest,Urban,Less than primary
Gambia,34.287178,34.695065,0,0,1,1,3,Female,Richest,Urban,Less than primary
Gambia,34.24286,34.695065,1,1,1,1,4,Female,Richest,Urban,Primary
Gambia,34.248493,34.695065,0,0,1,1,3,Female,Richest,Urban,Secondary or higher
Gambia,34.12491,34.66447,1,1,1,1,3,Female,Richest,Urban,Less than primary
Gambia,34.460648,34.66447,0,1,1,1,3,Male,Richest,Urban,Primary
Gambia,34.22161,34.66447,1,0,1,1,3,Male,Middle,Urban,Primary
Gambia,34.13275,34.66447,1,1,1,1,3,Male,Fourth,Urban,Secondary or higher
Gambia,34.26119,34.66447,0,0,1,1,3,Male,Richest,Urban,Secondary or higher
Gambia,34.39901,34.66447,1,1,1,1,3,Female,Richest,Urban,Secondary or higher
Gambia,34.27385,34.668022,1,1,1,1,4,Male,Fourth,Urban,Primary
Gambia,34.435867,34.668022,0,0,0,1,3,Male,Richest,Urban,Primary
Gambia,34.102848,34.668022,0,0,1,1,4,Female,Fourth,Urban,Secondary or higher
Gambia,34.219803,34.668022,0,0,1,1,4,Female,Fourth,Urban,Secondary or higher
Gambia,34.27385,34.668022,1,1,1,1,4,Male,Richest,Urban,Secondary or higher
Gambia,34.398663,35.6502,1,1,1,1,4,Female,Richest,Urban,Less than primary
Gambia,34.412113,35.6502,0,0,1,1,4,Male,Fourth,Urban,Unknown
Gambia,34.44249,35.6502,1,0,1,1,3,Female,Fourth,Urban,Secondary or higher
Gambia,34.543533,35.6502,1,0,1,1,3,Male,Richest,Urban,Secondary or higher
Gambia,34.58275,35.677242,0,0,1,1,3,Male,Fourth,Urban,Less than primary
Gambia,34.418186,35.677242,1,0,1,1,4,Female,Richest,Urban,Secondary or higher
Gambia,34.216076,33.891422,1,1,1,1,4,Female,Richest,Urban,Secondary or higher
Gambia,34.101803,33.891422,0,1,0,1,4,Male,Richest,Urban,Primary
Gambia,34.338696,33.891422,1,0,1,1,3,Male,Fourth,Urban,Less than primary
Gambia,34.313725,33.891422,0,0,1,1,3,Male,Richest,Urban,Secondary or higher
Gambia,34.101803,33.891422,1,1,1,1,4,Female,Richest,Urban,Secondary or higher
Gambia,34.110844,33.891422,0,1,0,1,3,Male,Fourth,Urban,Less than primary
Gambia,34.110844,33.891422,0,0,1,1,3,Female,Fourth,Urban,Less than primary
Gambia,34.179077,33.90986,1,0,1,1,3,Female,Fourth,Urban,Less than primary
Gambia,34.280727,33.934258,0,0,1,1,3,Female,Fourth,Urban,Less than primary
Gambia,34.350784,33.928993,1,0,1,1,3,Female,Richest,Urban,Secondary or higher
Gambia,34.409687,33.928993,0,0,1,1,3,Male,Fourth,Urban,Less than primary
Gambia,34.375935,33.928993,0,0,0,1,3,Male,Fourth,Urban,Secondary or higher
Gambia,34.122208,33.84684,1,1,1,1,3,Male,Richest,Urban,Secondary or higher
Gambia,34.19563,33.84684,0,0,0,1,3,Male,Richest,Urban,Secondary or higher
Gambia,34.167923,33.84684,1,0,1,1,4,Male,Middle,Urban,Less than primary
Gambia,34.392696,34.584934,1,0,1,1,2,Male,Fourth,Urban,Less than primary
Gambia,33.916462,34.402546,1,0,1,1,3,Female,Fourth,Urban,Less than primary
Gambia,34.005684,34.402546,0,0,1,1,3,Female,Richest,Urban,Less than primary
Gambia,33.993427,34.402546,1,0,0,1,4,Male,Richest,Urban,Less than primary
Gambia,34.209045,34.402546,0,1,1,1,3,Male,Richest,Urban,Secondary or higher
Gambia,34.079384,34.402546,1,1,1,1,3,Male,Richest,Urban,Secondary or higher
Gambia,34.005684,34.402546,1,1,1,1,3,Male,Fourth,Urban,Less than primary
Gambia,34.005684,34.402546,1,1,0,1,3,Female,Fourth,Urban,Less than primary
Gambia,33.917496,34.48969,0,1,1,1,4,Male,Richest,Urban,Secondary or higher
Gambia,34.03219,34.629192,1,1,1,1,4,Male,Richest,Urban,Less than primary
Gambia,34.269108,34.629192,1,1,1,1,3,Female,Richest,Urban,Secondary or higher
Gambia,34.2581,34.629192,1,1,1,1,4,Female,Richest,Urban,Secondary or higher
Gambia,34.342793,34.629192,1,0,1,1,3,Male,Richest,Urban,Less than primary
Gambia,34.240513,34.629192,0,0,1,1,4,Female,Richest,Urban,Primary
Gambia,34.25896,34.63019,1,0,1,1,4,Female,Richest,Urban,Less than primary
Gambia,34.251965,34.63019,1,0,0,1,4,Male,Richest,Urban,Less than primary
Gambia,34.232067,34.63019,0,1,1,1,3,Female,Richest,Urban,Less than primary
Gambia,34.19335,34.63019,0,0,1,1,3,Female,Fourth,Urban,Secondary or higher
Gambia,34.104446,34.63019,1,1,0,1,3,Male,Richest,Urban,Secondary or higher
Gambia,33.911156,34.481976,0,1,1,1,4,Female,Richest,Urban,Less than primary
Gambia,34.071167,34.481976,1,1,1,1,3,Female,Richest,Urban,Secondary or higher
Gambia,33.97366,34.481976,1,1,1,1,3,Female,Richest,Urban,Secondary or higher
Gambia,34.06116,34.481976,1,1,1,1,4,Male,Richest,Urban,Secondary or higher
Gambia,34.108837,34.481976,0,1,0,1,4,Female,Richest,Urban,Less than primary
Gambia,34.11413,34.481976,1,1,1,1,4,Male,Fourth,Urban,Secondary or higher
Gambia,33.97366,34.481976,1,1,0,1,3,Male,Fourth,Urban,Less than primary
Gambia,34.276913,34.481976,1,0,1,1,3,Female,Fourth,Urban,Less than primary
Gambia,34.071167,34.481976,1,1,1,1,3,Female,Fourth,Urban,Secondary or higher
Gambia,34.21532,34.655727,1,0,1,1,3,Male,Richest,Urban,Less than primary
Gambia,34.425365,34.655727,0,1,1,1,3,Male,Fourth,Urban,Secondary or higher
Gambia,34.391556,34.655727,1,0,1,1,3,Male,Fourth,Urban,Less than primary
Gambia,34.260418,33.81245,1,1,1,1,3,Female,Richest,Urban,Secondary or higher
Gambia,33.997166,33.81245,1,1,1,1,3,Male,Fourth,Urban,Secondary or higher
Gambia,34.162148,33.81245,0,0,1,1,3,Male,Richest,Urban,Secondary or higher
Gambia,34.18057,33.9085,1,1,1,1,4,Male,Middle,Urban,Less than primary
Gambia,34.355625,33.9085,1,1,1,1,3,Male,Fourth,Urban,Less than primary
Gambia,34.29287,34.65758,1,1,1,1,3,Male,Fourth,Urban,Less than primary
Gambia,34.38934,33.9085,1,0,1,1,3,Female,Richest,Urban,Secondary or higher
Gambia,34.26657,33.817913,1,0,1,1,3,Male,Richest,Urban,Less than primary
Gambia,33.935387,33.817913,0,0,0,1,4,Female,Fourth,Urban,Primary
Gambia,34.138905,33.817913,0,0,1,1,4,Female,Richest,Urban,Secondary or higher
Gambia,34.00241,33.817913,1,1,1,1,3,Female,Fourth,Urban,Less than primary
Gambia,34.133907,33.684822,1,1,1,1,3,Male,Fourth,Urban,Secondary or higher
Gambia,37.827084,39.353935,0,1,1,1,3,Female,Middle,Urban,Primary
Gambia,38.119324,39.353935,0,0,1,1,4,Male,Middle,Urban,Less than primary
Gambia,38.04102,39.353935,1,0,1,1,2,Female,Middle,Urban,Primary
Gambia,37.91426,39.353935,0,1,0,1,3,Female,Middle,Urban,Less than primary
Gambia,38.127666,39.353935,1,0,1,1,3,Female,Middle,Urban,Secondary or higher
Gambia,38.127666,39.353935,1,1,1,1,3,Male,Second,Urban,Less than primary
Gambia,38.127666,39.353935,1,1,1,1,3,Female,Richest,Urban,Secondary or higher
Gambia,37.850353,39.353935,1,1,1,1,3,Female,Richest,Urban,Primary
Gambia,38.139473,39.353935,1,1,1,1,3,Male,Middle,Urban,Primary
Gambia,38.034813,39.353935,1,1,1,1,4,Female,Middle,Urban,Primary
Gambia,37.883644,39.353935,1,1,1,1,3,Female,Middle,Urban,Less than primary
Gambia,37.827084,39.353935,1,1,1,1,3,Female,Middle,Urban,Primary
Gambia,38.10086,39.353935,1,1,1,1,3,Male,Middle,Urban,Less than primary
Gambia,37.848484,39.353935,0,1,1,1,4,Male,Middle,Urban,Primary
Gambia,38.034813,39.353935,0,1,1,1,4,Female,Middle,Urban,Less than primary
Gambia,38.090515,39.353935,1,1,1,1,4,Male,Middle,Urban,Less than primary
Gambia,38.00338,39.353935,0,0,0,0,3,Female,Middle,Urban,Less than primary
Gambia,38.127666,39.353935,1,1,1,1,3,Male,Middle,Urban,Secondary or higher
Gambia,38.10086,39.353935,1,1,1,1,3,Male,Middle,Urban,Less than primary
Gambia,37.883644,39.353935,1,0,1,1,3,Female,Middle,Urban,Less than primary
Gambia,38.193867,39.353935,1,1,1,1,3,Female,Middle,Urban,Less than primary
Gambia,38.034813,39.353935,1,1,1,1,4,Female,Middle,Urban,Less than primary
Gambia,38.10086,39.353935,0,0,0,0,3,Male,Middle,Urban,Less than primary
Gambia,38.20331,38.84574,0,0,0,1,4,Male,Second,Urban,Less than primary
Gambia,38.465736,38.84574,1,1,1,1,4,Female,Poorest,Urban,Primary
Gambia,38.427002,38.84574,1,1,1,1,4,Female,Second,Urban,Secondary or higher
Gambia,38.39706,38.84574,1,1,1,1,4,Female,Second,Urban,Primary
Gambia,38.44835,38.84574,1,1,1,1,4,Male,Second,Urban,Primary
Gambia,38.214405,38.84574,1,1,1,1,3,Male,Fourth,Urban,Less than primary
Gambia,38.44835,38.84574,1,1,1,1,4,Female,Middle,Urban,Less than primary
Gambia,38.185574,38.84574,1,1,1,1,3,Female,Middle,Urban,Less than primary
Gambia,38.42985,38.84574,1,0,1,1,3,Male,Middle,Urban,Secondary or higher
Gambia,38.423225,38.84574,1,1,1,1,3,Female,Middle,Urban,Secondary or higher
Gambia,38.130016,38.84574,1,1,1,1,4,Male,Middle,Urban,Secondary or higher
Gambia,38.341022,38.84574,0,0,0,1,3,Male,Middle,Urban,Primary
Gambia,38.423225,38.84574,0,0,0,0,3,Male,Poorest,Urban,Less than primary
Gambia,38.185574,38.84574,0,0,0,0,3,Female,Poorest,Urban,Less than primary
Gambia,38.465736,38.84574,1,1,0,1,4,Male,Middle,Urban,Primary
Gambia,38.15646,38.822536,1,1,1,1,3,Female,Poorest,Urban,Secondary or higher
Gambia,38.394566,38.822536,1,1,1,1,3,Female,Fourth,Urban,Secondary or higher
Gambia,38.394566,38.822536,1,1,1,1,3,Male,Fourth,Urban,Secondary or higher
Gambia,38.402985,38.822536,0,0,0,1,3,Male,Second,Urban,Secondary or higher
Gambia,38.36431,38.822536,1,1,1,1,4,Female,Second,Urban,Secondary or higher
Gambia,38.394566,38.822536,1,1,1,1,3,Male,Second,Urban,Less than primary
Gambia,38.394566,38.822536,1,1,1,1,3,Female,Second,Urban,Less than primary
Gambia,38.170666,38.822536,1,1,1,1,4,Female,Richest,Urban,Secondary or higher
Gambia,38.31176,38.822536,1,1,1,1,3,Male,Richest,Urban,Secondary or higher
Gambia,38.130245,38.822536,1,1,1,1,3,Male,Second,Urban,Less than primary
Gambia,38.130245,38.822536,1,1,1,1,3,Male,Second,Urban,Less than primary
Gambia,38.440113,38.822536,1,1,1,1,4,Female,Second,Urban,Primary
Gambia,38.31176,38.822536,1,1,1,1,3,Male,Middle,Urban,Less than primary
Gambia,38.39684,38.822536,1,1,1,1,4,Female,Middle,Urban,Less than primary
Gambia,38.432396,38.822536,0,0,0,0,4,Female,Second,Urban,Secondary or higher
Gambia,38.402985,38.822536,0,0,0,0,3,Male,Middle,Urban,Less than primary
Gambia,38.097176,38.822536,1,1,1,1,4,Male,Middle,Urban,Less than primary
Gambia,38.395157,38.815304,1,1,1,1,3,Male,Middle,Urban,Secondary or higher
Gambia,38.422993,38.815304,0,0,0,1,4,Female,Middle,Urban,Less than primary
Gambia,38.385525,38.815304,1,1,1,1,3,Female,Middle,Urban,Secondary or higher
Gambia,38.39433,38.815304,1,1,1,1,3,Male,Fourth,Urban,Secondary or higher
Gambia,38.146935,38.815304,1,1,1,1,3,Male,Poorest,Urban,Less than primary
Gambia,38.17579,38.815304,1,1,1,1,3,Male,Middle,Urban,Primary
Gambia,38.21411,38.815304,1,1,1,1,3,Female,Middle,Urban,Less than primary
Gambia,38.422993,38.815304,1,1,1,0,4,Male,Middle,Urban,Less than primary
Gambia,38.43075,38.815304,1,1,1,1,4,Female,Fourth,Urban,Primary
Gambia,38.505157,39.571682,1,1,0,1,4,Male,Middle,Urban,Less than primary
Gambia,38.510727,39.571682,1,1,0,1,4,Male,Middle,Urban,Primary
Gambia,38.307114,39.571682,1,1,1,1,3,Male,Second,Urban,Less than primary
Gambia,38.336346,39.571682,1,1,1,1,4,Male,Richest,Urban,Primary
Gambia,38.510727,39.571682,1,1,1,1,4,Female,Richest,Urban,Less than primary
Gambia,38.43726,39.602802,1,1,1,1,3,Male,Middle,Urban,Less than primary
Gambia,38.525337,39.602802,1,1,1,1,3,Male,Second,Urban,Primary
Gambia,38.55351,39.602802,1,1,1,1,4,Male,Fourth,Urban,Less than primary
Gambia,38.26163,39.602802,0,0,0,0,3,Male,Fourth,Urban,Less than primary
Gambia,38.26163,39.602802,0,0,0,0,3,Male,Fourth,Urban,Less than primary
Gambia,38.503464,39.59315,0,0,0,1,4,Female,Richest,Urban,Less than primary
Gambia,38.274384,39.59315,1,1,1,1,3,Female,Middle,Urban,Less than primary
Gambia,38.526745,39.59315,1,1,1,1,3,Female,Fourth,Urban,Secondary or higher
Gambia,38.41793,39.58208,0,0,1,1,3,Female,Middle,Urban,Primary
Gambia,38.41793,39.58208,0,1,1,1,3,Female,Middle,Urban,Primary
Gambia,38.54481,39.58208,1,1,1,1,3,Male,Fourth,Urban,Secondary or higher
Gambia,38.447784,39.58208,1,1,1,1,4,Female,Middle,Urban,Less than primary
Gambia,38.512928,39.575832,0,0,1,1,4,Male,Fourth,Urban,Less than primary
Gambia,38.40765,39.575832,0,0,0,1,2,Male,Fourth,Urban,Primary
Gambia,38.40765,39.575832,1,1,1,1,2,Male,Fourth,Urban,Less than primary
Gambia,38.390327,38.81425,1,1,1,1,4,Female,Fourth,Urban,Less than primary
Gambia,38.261013,38.81425,0,1,1,1,4,Female,Richest,Urban,Secondary or higher
Gambia,38.396717,38.81425,1,1,1,1,3,Male,Richest,Urban,Secondary or higher
Gambia,38.40829,38.81425,1,1,1,1,4,Male,Poorest,Urban,Less than primary
Gambia,38.42352,39.56489,0,1,1,1,4,Female,Second,Urban,Less than primary
Gambia,38.295185,38.80509,1,1,1,1,3,Female,Second,Urban,Less than primary
Gambia,38.396545,38.80509,1,1,1,1,4,Male,Poorest,Urban,Less than primary
Gambia,38.20712,38.80509,1,1,0,1,3,Female,Second,Urban,Less than primary
Gambia,38.415726,38.80509,1,1,1,1,4,Male,Middle,Urban,Less than primary
Gambia,38.140564,38.80509,1,1,1,1,3,Female,Second,Urban,Less than primary
Gambia,38.34321,38.80509,1,1,1,1,4,Male,Second,Urban,Less than primary
Gambia,38.37911,38.80509,1,1,1,1,4,Male,Second,Urban,Less than primary
Gambia,38.34321,38.80509,0,1,1,0,4,Female,Second,Urban,Less than primary
Gambia,38.24885,38.80509,1,1,1,1,4,Male,Second,Urban,Less than primary
Gambia,38.299534,38.80509,1,1,1,1,3,Male,Second,Urban,Primary
Gambia,38.477222,39.549488,0,0,1,1,3,Male,Middle,Urban,Less than primary
Gambia,38.285847,38.790844,1,1,1,1,3,Male,Poorest,Urban,Less than primary
Gambia,38.156094,38.790844,1,1,1,1,3,Male,Fourth,Urban,Less than primary
Gambia,38.285847,38.790844,1,1,1,1,3,Male,Fourth,Urban,Less than primary
Gambia,38.372623,38.790844,1,1,1,1,3,Female,Middle,Urban,Primary
Gambia,38.38038,38.790844,1,1,1,1,4,Male,Poorest,Urban,Less than primary
Gambia,38.32622,38.790844,1,1,1,1,4,Male,Middle,Urban,Less than primary
Gambia,38.133087,38.790844,1,1,1,1,4,Female,Middle,Urban,Primary
Gambia,38.231823,38.790844,1,1,1,1,4,Male,Middle,Urban,Less than primary
Gambia,38.32622,38.790844,1,1,1,1,4,Male,Middle,Urban,Less than primary
Gambia,38.156094,38.790844,1,1,1,1,3,Male,Middle,Urban,Less than primary
Gambia,38.133087,38.790844,1,1,1,1,4,Male,Middle,Urban,Less than primary
Gambia,38.156094,38.790844,1,1,1,1,3,Male,Middle,Urban,Less than primary
Gambia,38.101936,38.790844,1,1,1,1,3,Female,Middle,Urban,Less than primary
Gambia,38.38038,38.790844,0,1,1,1,4,Female,Second,Urban,Less than primary
Gambia,38.364956,38.790844,1,1,1,1,4,Male,Second,Urban,Less than primary
Gambia,38.32622,38.790844,1,1,1,1,4,Male,Second,Urban,Less than primary
Gambia,38.364956,38.790844,1,1,1,1,4,Female,Second,Urban,Less than primary
Gambia,38.19397,38.790844,1,1,1,1,3,Female,Second,Urban,Secondary or higher
Gambia,38.231823,38.790844,0,1,1,0,4,Male,Second,Urban,Less than primary
Gambia,38.231823,38.790844,1,1,0,1,4,Male,Poorest,Urban,Less than primary
Gambia,38.480457,39.549488,1,1,1,1,3,Male,Middle,Urban,Less than primary
Gambia,38.214363,39.549488,1,1,1,1,4,Female,Middle,Urban,Less than primary
Gambia,38.25853,39.549488,1,1,1,1,3,Female,Middle,Urban,Less than primary
Gambia,38.386543,39.549488,1,1,1,1,3,Male,Middle,Urban,Less than primary
Gambia,38.452972,39.549488,1,1,1,1,4,Male,Fourth,Urban,Secondary or higher
Gambia,38.477222,39.549488,1,1,1,1,3,Female,Middle,Urban,Secondary or higher
Gambia,38.203327,39.549488,1,1,1,1,3,Male,Middle,Urban,Less than primary
Gambia,38.482635,39.549488,1,1,1,1,4,Female,Middle,Urban,Less than primary
Gambia,38.48971,39.549488,1,1,1,1,4,Male,Middle,Urban,Less than primary
Gambia,38.80632,39.05788,0,1,1,1,3,Female,Middle,Urban,Less than primary
Gambia,38.80632,39.05788,0,0,1,1,3,Female,Middle,Urban,Less than primary
Gambia,38.602383,39.05788,1,1,1,1,3,Female,Middle,Urban,Primary
Gambia,38.754627,39.05788,1,1,1,1,3,Male,Middle,Urban,Less than primary
Gambia,38.767693,39.05788,1,1,1,1,4,Male,Middle,Urban,Less than primary
Gambia,38.80664,39.05788,1,1,1,1,4,Male,Middle,Urban,Less than primary
Gambia,38.78943,39.05788,1,1,1,1,3,Male,Middle,Urban,Less than primary
Gambia,38.78943,39.05788,1,1,1,1,3,Male,Middle,Urban,Primary
Gambia,38.815304,39.05788,1,1,1,1,4,Male,Middle,Urban,Less than primary
Gambia,38.815304,39.05788,0,1,1,1,4,Male,Middle,Urban,Less than primary
Gambia,38.754627,39.05788,1,1,1,1,3,Male,Second,Urban,Less than primary
Gambia,38.809353,39.05788,1,1,1,1,4,Female,Second,Urban,Less than primary
Gambia,38.81498,39.05788,0,0,0,0,4,Female,Fourth,Urban,Secondary or higher
Gambia,38.78943,39.05788,0,1,1,1,3,Male,Middle,Urban,Secondary or higher
Gambia,38.756775,39.05788,1,0,1,1,3,Male,Middle,Urban,Less than primary
Gambia,38.78943,39.05788,0,1,1,1,3,Male,Middle,Urban,Less than primary
Gambia,38.767693,39.05788,1,1,1,1,4,Female,Middle,Urban,Secondary or higher
Gambia,38.80664,39.05788,1,0,1,1,4,Male,Middle,Urban,Secondary or higher
Gambia,38.678722,39.05788,1,1,0,1,4,Male,Middle,Urban,Less than primary
Gambia,38.767693,39.05788,1,1,1,1,4,Female,Middle,Urban,Less than primary
Gambia,38.678722,39.05788,0,0,0,0,4,Female,Middle,Urban,Primary
Gambia,38.767693,39.05788,0,0,0,0,4,Female,Middle,Urban,Less than primary
Gambia,38.755356,39.05788,1,1,1,1,3,Female,Middle,Urban,Less than primary
Gambia,38.80664,39.05788,1,1,1,1,4,Male,Middle,Urban,Less than primary
Gambia,38.763607,39.05788,0,1,1,1,2,Male,Middle,Urban,Less than primary
Gambia,38.82735,39.068855,1,1,1,1,3,Male,Middle,Urban,Less than primary
Gambia,38.622868,39.068855,1,1,1,1,3,Male,Middle,Urban,Less than primary
Gambia,38.75439,39.8715,1,1,1,1,4,Male,Middle,Urban,Less than primary
Gambia,38.722584,39.8715,0,0,0,1,3,Female,Middle,Urban,Less than primary
Gambia,38.96146,39.8715,0,0,0,0,3,Male,Middle,Urban,Less than primary
Gambia,38.982437,39.8715,1,1,1,1,4,Male,Middle,Urban,Less than primary
Gambia,38.97505,39.8715,1,1,1,1,3,Male,Middle,Urban,Less than primary
